split,env,section,platform,modality,required,count,missing_count,orphan_count
train,Home,MasterBedroom,floor_01,pre_grasp,True,5001,0,0
train,Home,MasterBedroom,floor_01,output_grasp,True,5001,0,0
train,Home,MasterBedroom,floor_01,rgb/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,depth/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,normals/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,bbox/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,inst_seg_image/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,inst_seg_mapping/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,pointcloud_xyz/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,pointcloud_rgb/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,pointcloud_inst_seg/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,pointcloud_inst_seg_mapping/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,rgb/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,depth/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,normals/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,bbox/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,inst_seg_image/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,inst_seg_mapping/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,pointcloud_xyz/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,pointcloud_rgb/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,pointcloud_inst_seg/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,floor_01,pointcloud_inst_seg_mapping/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,conf,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,scene_meta,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,pre_grasp,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,output_grasp,True,3469,1532,0
train,Home,MasterBedroom,sideboard_01,rgb/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,depth/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,normals/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,bbox/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,inst_seg_image/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,inst_seg_mapping/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,pointcloud_xyz/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,pointcloud_rgb/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,pointcloud_inst_seg/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,pointcloud_inst_seg_mapping/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,rgb/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,depth/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,normals/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,bbox/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,inst_seg_image/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,inst_seg_mapping/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,pointcloud_xyz/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,pointcloud_rgb/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,pointcloud_inst_seg/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,sideboard_01,pointcloud_inst_seg_mapping/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,conf,True,5001,0,0
train,Home,MasterBedroom,vanity_01,scene_meta,True,5001,0,0
train,Home,MasterBedroom,vanity_01,pre_grasp,True,5001,0,0
train,Home,MasterBedroom,vanity_01,output_grasp,True,5001,0,0
train,Home,MasterBedroom,vanity_01,rgb/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,depth/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,normals/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,bbox/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,inst_seg_image/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,inst_seg_mapping/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,pointcloud_xyz/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,pointcloud_rgb/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,pointcloud_inst_seg/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,pointcloud_inst_seg_mapping/top_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,rgb/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,depth/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,normals/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,bbox/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,inst_seg_image/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,inst_seg_mapping/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,pointcloud_xyz/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,pointcloud_rgb/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,pointcloud_inst_seg/side_view_camera,True,5001,0,0
train,Home,MasterBedroom,vanity_01,pointcloud_inst_seg_mapping/side_view_camera,True,5001,0,0
train,Logistic_site,General_LogisticSite,conveyor_track_01,conf,True,3751,0,0
train,Logistic_site,General_LogisticSite,conveyor_track_01,scene_meta,True,3751,0,0
train,Logistic_site,General_LogisticSite,conveyor_track_01,pre_grasp,True,3751,0,0
train,Logistic_site,General_LogisticSite,conveyor_track_01,output_grasp,True,3751,0,0
